latent_id,max_act,mean_act,top_images,top_values
1315,3.8803038597106934,0.022898871451616287,"['top_activations_live/img_6133.png', 'top_activations_live/img_8960.png', 'top_activations_live/img_6821.png', 'top_activations_live/img_9017.png', 'top_activations_live/img_7116.png', 'top_activations_live/img_3782.png', 'top_activations_live/img_9482.png', 'top_activations_live/img_4546.png']","[3.8803038597106934, 2.9082770347595215, 2.696442127227783, 2.3681468963623047, 2.299372911453247, 2.188779830932617, 2.1645240783691406, 2.060757637023926]"
1338,0.5323529243469238,5.3235293307807297e-05,"['top_activations_live/img_9770.png', 'top_activations_live/img_1.png', 'top_activations_live/img_7.png', 'top_activations_live/img_4.png', 'top_activations_live/img_3.png', 'top_activations_live/img_5.png', 'top_activations_live/img_0.png', 'top_activations_live/img_2.png']","[0.5323529243469238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1354,4.172972679138184,0.03254442662000656,"['top_activations_live/img_7575.png', 'top_activations_live/img_2644.png', 'top_activations_live/img_2957.png', 'top_activations_live/img_197.png', 'top_activations_live/img_9619.png', 'top_activations_live/img_4024.png', 'top_activations_live/img_6743.png', 'top_activations_live/img_8325.png']","[4.172972679138184, 3.5686614513397217, 3.5418543815612793, 3.238097667694092, 3.177940845489502, 3.0824527740478516, 3.051372766494751, 3.0104756355285645]"
1421,7.207559108734131,0.4251292943954468,"['top_activations_live/img_7560.png', 'top_activations_live/img_3112.png', 'top_activations_live/img_4040.png', 'top_activations_live/img_6241.png', 'top_activations_live/img_3063.png', 'top_activations_live/img_8061.png', 'top_activations_live/img_4167.png', 'top_activations_live/img_5703.png']","[7.207559108734131, 7.206903457641602, 7.18730354309082, 7.1621599197387695, 7.160895347595215, 7.145323753356934, 7.047281265258789, 6.98801326751709]"
1425,9.068693161010742,3.5343031883239746,"['top_activations_live/img_9034.png', 'top_activations_live/img_3292.png', 'top_activations_live/img_6327.png', 'top_activations_live/img_7801.png', 'top_activations_live/img_7831.png', 'top_activations_live/img_2664.png', 'top_activations_live/img_4524.png', 'top_activations_live/img_5159.png']","[9.068693161010742, 8.833126068115234, 8.770941734313965, 8.74129867553711, 8.544683456420898, 8.514519691467285, 8.489334106445312, 8.44355583190918]"
1433,5.843663215637207,0.09034691005945206,"['top_activations_live/img_917.png', 'top_activations_live/img_7252.png', 'top_activations_live/img_6115.png', 'top_activations_live/img_4692.png', 'top_activations_live/img_6463.png', 'top_activations_live/img_55.png', 'top_activations_live/img_711.png', 'top_activations_live/img_8418.png']","[5.843663215637207, 5.775693893432617, 5.758281707763672, 5.57773494720459, 5.361044406890869, 5.3482208251953125, 5.264963626861572, 5.246513843536377]"
1464,3.785191297531128,0.03550950810313225,"['top_activations_live/img_1004.png', 'top_activations_live/img_1263.png', 'top_activations_live/img_3078.png', 'top_activations_live/img_1866.png', 'top_activations_live/img_8921.png', 'top_activations_live/img_9846.png', 'top_activations_live/img_757.png', 'top_activations_live/img_9274.png']","[3.785191297531128, 3.528665542602539, 3.5201869010925293, 3.3683388233184814, 3.332637310028076, 3.2628016471862793, 3.2462446689605713, 3.2459604740142822]"
1506,2.7924368381500244,0.011680479161441326,"['top_activations_live/img_8898.png', 'top_activations_live/img_5010.png', 'top_activations_live/img_5842.png', 'top_activations_live/img_7342.png', 'top_activations_live/img_3377.png', 'top_activations_live/img_7976.png', 'top_activations_live/img_7478.png', 'top_activations_live/img_8793.png']","[2.7924368381500244, 2.268122434616089, 2.1571404933929443, 2.0948052406311035, 2.0828487873077393, 2.0606067180633545, 1.9049221277236938, 1.893121600151062]"
1607,5.983753204345703,0.9534939527511597,"['top_activations_live/img_9876.png', 'top_activations_live/img_1940.png', 'top_activations_live/img_1247.png', 'top_activations_live/img_5632.png', 'top_activations_live/img_2466.png', 'top_activations_live/img_9682.png', 'top_activations_live/img_8812.png', 'top_activations_live/img_7011.png']","[5.983753204345703, 5.833980560302734, 5.830450534820557, 5.7266316413879395, 5.531223297119141, 5.414224624633789, 5.4000959396362305, 5.310164928436279]"
1632,3.505218505859375,0.02591727301478386,"['top_activations_live/img_1107.png', 'top_activations_live/img_4412.png', 'top_activations_live/img_4923.png', 'top_activations_live/img_9390.png', 'top_activations_live/img_7223.png', 'top_activations_live/img_6356.png', 'top_activations_live/img_1584.png', 'top_activations_live/img_8320.png']","[3.505218505859375, 3.237434148788452, 3.2103867530822754, 3.1709513664245605, 3.1064629554748535, 3.103041887283325, 2.936478853225708, 2.9185826778411865]"
1633,7.080991744995117,0.058653101325035095,"['top_activations_live/img_2290.png', 'top_activations_live/img_8814.png', 'top_activations_live/img_5083.png', 'top_activations_live/img_6672.png', 'top_activations_live/img_3979.png', 'top_activations_live/img_8127.png', 'top_activations_live/img_4233.png', 'top_activations_live/img_9658.png']","[7.080991744995117, 6.7989888191223145, 6.501885414123535, 6.427097320556641, 6.371066093444824, 6.341056823730469, 6.275838375091553, 6.220188140869141]"
1684,2.956084966659546,0.03265540301799774,"['top_activations_live/img_1357.png', 'top_activations_live/img_9927.png', 'top_activations_live/img_8430.png', 'top_activations_live/img_1734.png', 'top_activations_live/img_2765.png', 'top_activations_live/img_6868.png', 'top_activations_live/img_7685.png', 'top_activations_live/img_5916.png']","[2.956084966659546, 2.8718647956848145, 2.661278247833252, 2.5981738567352295, 2.574295997619629, 2.547752857208252, 2.5030465126037598, 2.497166395187378]"
1734,0.5767136812210083,5.767136826761998e-05,"['top_activations_live/img_2051.png', 'top_activations_live/img_1.png', 'top_activations_live/img_7.png', 'top_activations_live/img_4.png', 'top_activations_live/img_3.png', 'top_activations_live/img_5.png', 'top_activations_live/img_0.png', 'top_activations_live/img_2.png']","[0.5767136812210083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1756,3.8001585006713867,0.016381850466132164,"['top_activations_live/img_9054.png', 'top_activations_live/img_6414.png', 'top_activations_live/img_3829.png', 'top_activations_live/img_2245.png', 'top_activations_live/img_4972.png', 'top_activations_live/img_8101.png', 'top_activations_live/img_368.png', 'top_activations_live/img_9906.png']","[3.8001585006713867, 3.0975542068481445, 2.7279675006866455, 2.469085931777954, 2.3435654640197754, 2.3402528762817383, 2.2414755821228027, 2.227281093597412]"
1776,2.5479555130004883,0.021135350689291954,"['top_activations_live/img_9086.png', 'top_activations_live/img_5860.png', 'top_activations_live/img_8415.png', 'top_activations_live/img_6363.png', 'top_activations_live/img_1851.png', 'top_activations_live/img_9565.png', 'top_activations_live/img_6091.png', 'top_activations_live/img_4854.png']","[2.5479555130004883, 2.3931782245635986, 2.190319538116455, 2.1565699577331543, 2.0872838497161865, 2.031524181365967, 1.9987571239471436, 1.9142593145370483]"
1804,5.604384899139404,0.031885016709566116,"['top_activations_live/img_8247.png', 'top_activations_live/img_2639.png', 'top_activations_live/img_7672.png', 'top_activations_live/img_4672.png', 'top_activations_live/img_5513.png', 'top_activations_live/img_6731.png', 'top_activations_live/img_5977.png', 'top_activations_live/img_329.png']","[5.604384899139404, 5.3704071044921875, 5.280548095703125, 5.066021919250488, 4.7818803787231445, 4.692265510559082, 4.641881942749023, 4.543577194213867]"
1812,11.670267105102539,7.189661502838135,"['top_activations_live/img_3401.png', 'top_activations_live/img_4905.png', 'top_activations_live/img_8473.png', 'top_activations_live/img_6022.png', 'top_activations_live/img_2470.png', 'top_activations_live/img_4641.png', 'top_activations_live/img_8205.png', 'top_activations_live/img_7177.png']","[11.670267105102539, 11.36838150024414, 11.039868354797363, 11.034125328063965, 10.9360933303833, 10.882225036621094, 10.862443923950195, 10.819184303283691]"
1832,2.6383872032165527,0.014748580753803253,"['top_activations_live/img_5242.png', 'top_activations_live/img_9931.png', 'top_activations_live/img_9890.png', 'top_activations_live/img_9172.png', 'top_activations_live/img_1760.png', 'top_activations_live/img_5618.png', 'top_activations_live/img_9644.png', 'top_activations_live/img_6394.png']","[2.6383872032165527, 2.5617973804473877, 2.447625160217285, 2.2508535385131836, 2.200863838195801, 2.153857707977295, 2.1347010135650635, 2.0688672065734863]"
1833,6.739945411682129,0.7508711814880371,"['top_activations_live/img_7315.png', 'top_activations_live/img_8958.png', 'top_activations_live/img_6850.png', 'top_activations_live/img_8942.png', 'top_activations_live/img_9641.png', 'top_activations_live/img_4859.png', 'top_activations_live/img_3720.png', 'top_activations_live/img_9860.png']","[6.739945411682129, 6.440250396728516, 6.422700881958008, 6.397400379180908, 6.335867881774902, 6.321168899536133, 6.279694557189941, 6.196898460388184]"
1850,7.078104496002197,0.14079706370830536,"['top_activations_live/img_5301.png', 'top_activations_live/img_2930.png', 'top_activations_live/img_375.png', 'top_activations_live/img_6358.png', 'top_activations_live/img_1215.png', 'top_activations_live/img_2559.png', 'top_activations_live/img_2239.png', 'top_activations_live/img_9416.png']","[7.078104496002197, 6.978647708892822, 6.817699909210205, 6.358665466308594, 6.323428153991699, 6.258911609649658, 6.19686222076416, 6.175993919372559]"
1898,3.167483329772949,0.03038683533668518,"['top_activations_live/img_9652.png', 'top_activations_live/img_1863.png', 'top_activations_live/img_9992.png', 'top_activations_live/img_5632.png', 'top_activations_live/img_7662.png', 'top_activations_live/img_5830.png', 'top_activations_live/img_8219.png', 'top_activations_live/img_3666.png']","[3.167483329772949, 2.541078567504883, 2.493145704269409, 2.4709270000457764, 2.343165636062622, 2.3294079303741455, 2.3060436248779297, 2.2668802738189697]"
1966,7.84398078918457,0.4841116666793823,"['top_activations_live/img_4823.png', 'top_activations_live/img_6199.png', 'top_activations_live/img_5222.png', 'top_activations_live/img_1543.png', 'top_activations_live/img_2003.png', 'top_activations_live/img_4241.png', 'top_activations_live/img_2582.png', 'top_activations_live/img_8115.png']","[7.84398078918457, 7.772770881652832, 7.631414890289307, 7.613369941711426, 7.581723213195801, 7.4191060066223145, 7.395809173583984, 7.296683311462402]"
1983,0.6074289083480835,6.074289194657467e-05,"['top_activations_live/img_9746.png', 'top_activations_live/img_1.png', 'top_activations_live/img_7.png', 'top_activations_live/img_4.png', 'top_activations_live/img_3.png', 'top_activations_live/img_5.png', 'top_activations_live/img_0.png', 'top_activations_live/img_2.png']","[0.6074289083480835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2047,7.0386152267456055,0.1284237951040268,"['top_activations_live/img_7632.png', 'top_activations_live/img_3684.png', 'top_activations_live/img_7994.png', 'top_activations_live/img_2821.png', 'top_activations_live/img_4840.png', 'top_activations_live/img_4374.png', 'top_activations_live/img_5302.png', 'top_activations_live/img_4802.png']","[7.0386152267456055, 6.180198669433594, 6.132760524749756, 5.928404808044434, 5.845181941986084, 5.6085052490234375, 5.505102157592773, 5.292472839355469]"
2152,7.604550361633301,1.855042815208435,"['top_activations_live/img_7090.png', 'top_activations_live/img_1121.png', 'top_activations_live/img_2948.png', 'top_activations_live/img_4393.png', 'top_activations_live/img_1803.png', 'top_activations_live/img_2039.png', 'top_activations_live/img_4982.png', 'top_activations_live/img_3013.png']","[7.604550361633301, 7.262609004974365, 7.251770973205566, 7.244472503662109, 7.179450035095215, 7.163933753967285, 6.896142482757568, 6.891482353210449]"
2215,2.879587173461914,0.032034821808338165,"['top_activations_live/img_5951.png', 'top_activations_live/img_5995.png', 'top_activations_live/img_489.png', 'top_activations_live/img_2468.png', 'top_activations_live/img_6436.png', 'top_activations_live/img_9625.png', 'top_activations_live/img_1875.png', 'top_activations_live/img_4504.png']","[2.879587173461914, 2.7787914276123047, 2.7603721618652344, 2.598233222961426, 2.5597081184387207, 2.544651985168457, 2.323676586151123, 2.288459539413452]"
2221,9.285977363586426,2.767742872238159,"['top_activations_live/img_6077.png', 'top_activations_live/img_6428.png', 'top_activations_live/img_83.png', 'top_activations_live/img_8431.png', 'top_activations_live/img_8017.png', 'top_activations_live/img_2515.png', 'top_activations_live/img_3536.png', 'top_activations_live/img_2079.png']","[9.285977363586426, 9.024325370788574, 8.915771484375, 8.907672882080078, 8.694157600402832, 8.660310745239258, 8.586198806762695, 8.415420532226562]"
2241,3.753021240234375,0.08944615721702576,"['top_activations_live/img_9848.png', 'top_activations_live/img_6742.png', 'top_activations_live/img_4128.png', 'top_activations_live/img_2533.png', 'top_activations_live/img_6558.png', 'top_activations_live/img_8039.png', 'top_activations_live/img_2126.png', 'top_activations_live/img_1511.png']","[3.753021240234375, 3.7419893741607666, 3.608940839767456, 3.4897961616516113, 3.4609107971191406, 3.4498789310455322, 3.4051923751831055, 3.3894472122192383]"
